Year;Date Of Incident;Route;Operator;Group Name;Borough;Injury Result Description;Incident Event Type;Victim Category;Victims Sex;Victims Age
2015;01/01/2015;17;Metroline;Metroline;Southwark;Reported Minor Injury - Treated at Hospital;Onboard Injuries;Pedestrian;Male;Unknown
2015;01/01/2015;18;Metroline West;Metroline;Brent;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;18;Metroline West;Metroline;Brent;Injuries treated on scene;Onboard Injuries;Pedestrian;Unknown;Unknown
2015;01/01/2015;18;Metroline West;Metroline;Brent;Reported Minor Injury - Treated at Hospital;Onboard Injuries;Passenger;Unknown;Child
2015;01/01/2015;18;Metroline West;Metroline;Brent;Reported Minor Injury - Treated at Hospital;Onboard Injuries;Passenger;Unknown;Elderly
2015;01/01/2015;18;Metroline West;Metroline;Brent;Reported Minor Injury - Treated at Hospital;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;18;Metroline West;Metroline;Westminster;Reported Minor Injury - Treated at Hospital;Collision Incident;Pedestrian;Male;Adult
2015;01/01/2015;21;London Central;Go-Ahead;Southwark;Injuries treated on scene;Onboard Injuries;Pedestrian;Unknown;Unknown
2015;01/01/2015;22;London General;Go-Ahead;Hammersmith & Fulham;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;22;London General;Go-Ahead;Hammersmith & Fulham;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;22;London General;Go-Ahead;Hammersmith & Fulham;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;23;Tower Transit;Tower Transit;Westminster;Injuries treated on scene;Onboard Injuries;Bus Driver;Male;Adult
2015;01/01/2015;24;Metroline;Metroline;Camden;Injuries treated on scene;Onboard Injuries;Passenger;Female;Unknown
2015;01/01/2015;24;Metroline;Metroline;Camden;Injuries treated on scene;Onboard Injuries;Passenger;Male;Elderly
2015;01/01/2015;24;Metroline;Metroline;Westminster;Injuries treated on scene;Onboard Injuries;Bus Driver;Male;Adult
2015;01/01/2015;24;Metroline;Metroline;Westminster;Injuries treated on scene;Onboard Injuries;Passenger;Male;Adult
2015;01/01/2015;24;Metroline;Metroline;Westminster;Injuries treated on scene;Onboard Injuries;Passenger;Male;Elderly
2015;01/01/2015;24;Metroline;Metroline;Westminster;Taken to Hospital – Reported Serious Injury or Severity Unknown;Onboard Injuries;Passenger;Female;Unknown
2015;01/01/2015;25;Tower Transit;Tower Transit;City of London;Taken to Hospital – Reported Serious Injury or Severity Unknown;Onboard Injuries;Passenger;Male;Unknown
2015;01/01/2015;27;London United;London United;Hammersmith & Fulham;Injuries treated on scene;Onboard Injuries;Passenger;Female;Elderly
2015;01/01/2015;27;London United;London United;Hammersmith & Fulham;Reported Minor Injury - Treated at Hospital;Onboard Injuries;Passenger;Female;Adult
2015;01/01/2015;27;London United;London United;Hounslow;Injuries treated on scene;Onboard Injuries;Bus Driver;Male;Adult
2015;01/01/2015;27;London United;London United;Kensington & Chelsea;Injuries treated on scene;Onboard Injuries;Passenger;Male;Elderly
2015;01/01/2015;27;London United;London United;Kensington & Chelsea;Taken to Hospital – Reported Serious Injury or Severity Unknown;Assault;Member Of Public;Male;Adult
2015;01/01/2015;27;London United;London United;Westminster;Reported Minor Injury - Treated at Hospital;Onboard Injuries;Passenger;Female;Elderly
2015;01/01/2015;29;Arriva London North;Arriva London;Camden;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;29;Arriva London North;Arriva London;None London Borough;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;29;Arriva London North;Arriva London;None London Borough;Taken to Hospital – Reported Serious Injury or Severity Unknown;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;31;Tower Transit;Tower Transit;Brent;Taken to Hospital – Reported Serious Injury or Severity Unknown;Collision Incident;Pedestrian;Female;Elderly
2015;01/01/2015;32;Metroline;Metroline;Brent;Injuries treated on scene;Assault;Bus Driver;Female;Adult
2015;01/01/2015;33;London United;London United;Hammersmith & Fulham;Injuries treated on scene;Onboard Injuries;Passenger;Female;Adult
2015;01/01/2015;33;London United;London United;Hammersmith & Fulham;Reported Minor Injury - Treated at Hospital;Onboard Injuries;Bus Driver;Female;Adult
2015;01/01/2015;33;London United;London United;Richmond Upon Thames;Injuries treated on scene;Onboard Injuries;Bus Driver;Male;Adult
2015;01/01/2015;33;London United;London United;Richmond Upon Thames;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Child
2015;01/01/2015;34;Metroline;Metroline;Enfield;Injuries treated on scene;Collision Incident;Pedestrian;Male;Adult
2015;01/01/2015;34;Metroline;Metroline;Enfield;Injuries treated on scene;Onboard Injuries;Passenger;Female;Adult
2015;01/01/2015;34;Metroline;Metroline;Waltham Forest;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Child
2015;01/01/2015;35;Abellio London;Abellio;None London Borough;Taken to Hospital – Reported Serious Injury or Severity Unknown;Onboard Injuries;Passenger;Female;Unknown
2015;01/01/2015;37;Metrobus;Go-Ahead;Wandsworth;Injuries treated on scene;Collision Incident;Cyclist;Male;Adult
2015;01/01/2015;38;Arriva London North;Arriva London;Camden;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;38;Arriva London North;Arriva London;Hackney;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;38;Arriva London North;Arriva London;Hackney;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;38;Arriva London North;Arriva London;Hackney;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;38;Arriva London North;Arriva London;Hackney;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;38;Arriva London North;Arriva London;Hackney;Injuries treated on scene;Onboard Injuries;Pedestrian;Unknown;Unknown
2015;01/01/2015;43;Metroline;Metroline;Barnet;Injuries treated on scene;Onboard Injuries;Passenger;Female;Adult
2015;01/01/2015;44;London General;Go-Ahead;Wandsworth;Reported Minor Injury - Treated at Hospital;Onboard Injuries;Passenger;Female;Adult
2015;01/01/2015;45;London Central;Go-Ahead;Lambeth;Injuries treated on scene;Onboard Injuries;Passenger;Female;Youth
2015;01/01/2015;45;London Central;Go-Ahead;Lambeth;Injuries treated on scene;Onboard Injuries;Passenger;Male;Unknown
2015;01/01/2015;45;London Central;Go-Ahead;Southwark;Injuries treated on scene;Onboard Injuries;Passenger;Female;Unknown
2015;01/01/2015;47;Selkent;Stagecoach;Lewisham;Injuries treated on scene;Onboard Injuries;Passenger;Male;Elderly
2015;01/01/2015;49;Abellio London;Abellio;Westminster;Injuries treated on scene;Onboard Injuries;Passenger;Female;Adult
2015;01/01/2015;50;Arriva London South;Arriva London;Croydon;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;51;Selkent;Stagecoach;Bexley;Taken to Hospital – Reported Serious Injury or Severity Unknown;Onboard Injuries;Passenger;Male;Unknown
2015;01/01/2015;52;Metroline;Metroline;Brent;Injuries treated on scene;Onboard Injuries;Passenger;Male;Adult
2015;01/01/2015;52;Metroline;Metroline;Brent;Taken to Hospital – Reported Serious Injury or Severity Unknown;Collision Incident;Cyclist;Male;Adult
2015;01/01/2015;57;London United;London United;Kingston upon Thames;Injuries treated on scene;Onboard Injuries;Passenger;Female;Unknown
2015;01/01/2015;57;London United;London United;Kingston upon Thames;Injuries treated on scene;Onboard Injuries;Passenger;Female;Unknown
2015;01/01/2015;57;London United;London United;Kingston upon Thames;Injuries treated on scene;Onboard Injuries;Passenger;Female;Unknown
2015;01/01/2015;57;London United;London United;Lambeth;Injuries treated on scene;Onboard Injuries;Passenger;Female;Adult
2015;01/01/2015;57;London United;London United;Merton;Injuries treated on scene;Onboard Injuries;Passenger;Male;Adult
2015;01/01/2015;57;London United;London United;Merton;Reported Minor Injury - Treated at Hospital;Onboard Injuries;Passenger;Female;Adult
2015;01/01/2015;57;London United;London United;Wandsworth;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Child
2015;01/01/2015;59;Arriva London South;Arriva London;Camden;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;59;Arriva London South;Arriva London;Lambeth;Taken to Hospital – Reported Serious Injury or Severity Unknown;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;60;Arriva London South;Arriva London;Croydon;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;61;Selkent;Stagecoach;Bromley;Injuries treated on scene;Onboard Injuries;Passenger;Male;Unknown
2015;01/01/2015;63;Metrobus;Go-Ahead;City of London;Injuries treated on scene;Onboard Injuries;Passenger;Male;Elderly
2015;01/01/2015;67;Arriva London North;Arriva London;Haringey;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;67;Arriva London North;Arriva London;Haringey;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;67;Arriva London North;Arriva London;Haringey;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;67;Arriva London North;Arriva London;Haringey;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;67;Arriva London North;Arriva London;Southwark;Reported Minor Injury - Treated at Hospital;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;68;London Central;Go-Ahead;Southwark;Injuries treated on scene;Onboard Injuries;Passenger;Female;Child
2015;01/01/2015;68;London Central;Go-Ahead;Southwark;Injuries treated on scene;Onboard Injuries;Passenger;Female;Child
2015;01/01/2015;68;London Central;Go-Ahead;Southwark;Injuries treated on scene;Onboard Injuries;Passenger;Male;Adult
2015;01/01/2015;68;London Central;Go-Ahead;Southwark;Injuries treated on scene;Onboard Injuries;Passenger;Male;Child
2015;01/01/2015;71;London United;London United;Kingston upon Thames;Injuries treated on scene;Onboard Injuries;Passenger;Female;Adult
2015;01/01/2015;71;London United;London United;Kingston upon Thames;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Child
2015;01/01/2015;73;Arriva London North;Arriva London;Islington;Taken to Hospital – Reported Serious Injury or Severity Unknown;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;73;Arriva London North;Arriva London;Westminster;Reported Minor Injury - Treated at Hospital;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;74;London General;Go-Ahead;Kensington & Chelsea;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;74;London General;Go-Ahead;Kensington & Chelsea;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;74;London General;Go-Ahead;Kensington & Chelsea;Reported Minor Injury - Treated at Hospital;Collision Incident;Pedestrian;Unknown;Unknown
2015;01/01/2015;76;Arriva London North;Arriva London;Hackney;Reported Minor Injury - Treated at Hospital;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;77;London General;Go-Ahead;Wandsworth;Injuries treated on scene;Onboard Injuries;Passenger;Male;Adult
2015;01/01/2015;79;Metroline;Metroline;Brent;Reported Minor Injury - Treated at Hospital;Collision Incident;Passenger;Male;Adult
2015;01/01/2015;79;Metroline;Metroline;Brent;Taken to Hospital – Reported Serious Injury or Severity Unknown;Collision Incident;Passenger;Female;Adult
2015;01/01/2015;81;London United;London United;None London Borough;Injuries treated on scene;Onboard Injuries;Bus Driver;Male;Elderly
2015;01/01/2015;81;London United;London United;None London Borough;Injuries treated on scene;Onboard Injuries;Passenger;Female;Child
2015;01/01/2015;83;Metroline West;Metroline;Ealing;Injuries treated on scene;Onboard Injuries;Passenger;Female;Adult
2015;01/01/2015;85;London General;Go-Ahead;Wandsworth;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;88;London General;Go-Ahead;Wandsworth;Injuries treated on scene;Onboard Injuries;Passenger;Female;Adult
2015;01/01/2015;89;London General;Go-Ahead;Lewisham;Injuries treated on scene;Onboard Injuries;Pedestrian;Unknown;Unknown
2015;01/01/2015;90;Metroline;Metroline;Hillingdon;Injuries treated on scene;Onboard Injuries;Passenger;Female;Elderly
2015;01/01/2015;91;Metroline;Metroline;Islington;Injuries treated on scene;Onboard Injuries;Passenger;Female;Unknown
2015;01/01/2015;91;Metroline;Metroline;Islington;Injuries treated on scene;Onboard Injuries;Passenger;Female;Unknown
2015;01/01/2015;93;London General;Go-Ahead;Merton;Taken to Hospital – Reported Serious Injury or Severity Unknown;Collision Incident;Pedestrian;Female;Elderly
2015;01/01/2015;93;London General;Go-Ahead;Wandsworth;Reported Minor Injury - Treated at Hospital;Collision Incident;Pedestrian;Male;Adult
2015;01/01/2015;94;London United;London United;Westminster;Injuries treated on scene;Onboard Injuries;Passenger;Female;Adult
2015;01/01/2015;95;Metroline West;Metroline;Ealing;Injuries treated on scene;Onboard Injuries;Bus Driver;Female;Adult
2015;01/01/2015;95;Metroline West;Metroline;Ealing;Injuries treated on scene;Onboard Injuries;Passenger;Female;Adult
2015;01/01/2015;95;Metroline West;Metroline;Ealing;Reported Minor Injury - Treated at Hospital;Onboard Injuries;Passenger;Female;Elderly
2015;01/01/2015;96;Selkent;Stagecoach;Bexley;Taken to Hospital – Reported Serious Injury or Severity Unknown;Vandalism Hooliganism;Passenger;Female;Adult
2015;01/01/2015;96;Selkent;Stagecoach;None London Borough;Injuries treated on scene;Onboard Injuries;Passenger;Female;Elderly
2015;01/01/2015;97;Selkent;Stagecoach;Waltham Forest;Taken to Hospital – Reported Serious Injury or Severity Unknown;Onboard Injuries;Passenger;Female;Unknown
2015;01/01/2015;102;Arriva London North;Arriva London;Barnet;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;102;Arriva London North;Arriva London;Barnet;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;102;Arriva London North;Arriva London;Enfield;Injuries treated on scene;Collision Incident;Pedestrian;Unknown;Unknown
2015;01/01/2015;104;Selkent;Stagecoach;Newham;Taken to Hospital – Reported Serious Injury or Severity Unknown;Collision Incident;Pedestrian;Female;Unknown
2015;01/01/2015;106;Arriva London North;Arriva London;Hackney;Injuries treated on scene;Onboard Injuries;Pedestrian;Unknown;Unknown
2015;01/01/2015;109;Arriva London South;Arriva London;Croydon;Taken to Hospital – Reported Serious Injury or Severity Unknown;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;109;Arriva London South;Arriva London;Lambeth;Injuries treated on scene;Collision Incident;Cyclist;Unknown;Unknown
2015;01/01/2015;109;Arriva London South;Arriva London;Lambeth;Injuries treated on scene;Onboard Injuries;Passenger;Male;Child
2015;01/01/2015;111;London United;London United;Hounslow;Injuries treated on scene;Collision Incident;Motorcyclist;Male;Adult
2015;01/01/2015;111;London United;London United;Hounslow;Injuries treated on scene;Safety Critical Failure;Passenger;Male;Adult
2015;01/01/2015;111;London United;London United;Hounslow;Injuries treated on scene;Onboard Injuries;Passenger;Female;Adult
2015;01/01/2015;111;London United;London United;Hounslow;Injuries treated on scene;Onboard Injuries;Passenger;Female;Adult
2015;01/01/2015;111;London United;London United;Hounslow;Injuries treated on scene;Onboard Injuries;Passenger;Female;Elderly
2015;01/01/2015;111;London United;London United;Hounslow;Reported Minor Injury - Treated at Hospital;Onboard Injuries;Passenger;Male;Adult
2015;01/01/2015;115;East London;Stagecoach;Newham;Taken to Hospital – Reported Serious Injury or Severity Unknown;Collision Incident;Pedestrian;Male;Adult
2015;01/01/2015;118;London General;Go-Ahead;Lambeth;Reported Minor Injury - Treated at Hospital;Onboard Injuries;Passenger;Male;Child
2015;01/01/2015;118;London General;Go-Ahead;Merton;Injuries treated on scene;Collision Incident;Passenger;Female;Adult
2015;01/01/2015;118;London General;Go-Ahead;Merton;Injuries treated on scene;Collision Incident;Passenger;Male;Adult
2015;01/01/2015;118;London General;Go-Ahead;Merton;Injuries treated on scene;Onboard Injuries;Passenger;Female;Adult
2015;01/01/2015;118;London General;Go-Ahead;Merton;Injuries treated on scene;Onboard Injuries;Passenger;Female;Adult
2015;01/01/2015;118;London General;Go-Ahead;Merton;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;121;Arriva London North;Arriva London;Enfield;Injuries treated on scene;Collision Incident;Pedestrian;Unknown;Unknown
2015;01/01/2015;123;Arriva London North;Arriva London;Haringey;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;125;Arriva London North;Arriva London;Enfield;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;131;London United;London United;Wandsworth;Injuries treated on scene;Onboard Injuries;Passenger;Male;Adult
2015;01/01/2015;134;Metroline;Metroline;Camden;Reported Minor Injury - Treated at Hospital;Collision Incident;Passenger;Female;Adult
2015;01/01/2015;134;Metroline;Metroline;Westminster;Injuries treated on scene;Onboard Injuries;Passenger;Male;Adult
2015;01/01/2015;137;Arriva London South;Arriva London;Kensington & Chelsea;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;137;Arriva London South;Arriva London;Lambeth;Injuries treated on scene;Collision Incident;Pedestrian;Unknown;Unknown
2015;01/01/2015;137;Arriva London South;Arriva London;Lambeth;Injuries treated on scene;Collision Incident;Pedestrian;Unknown;Unknown
2015;01/01/2015;137;Arriva London South;Arriva London;Lambeth;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;137;Arriva London South;Arriva London;Westminster;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;139;Metroline;Metroline;Westminster;Taken to Hospital – Reported Serious Injury or Severity Unknown;Onboard Injuries;Passenger;Female;Adult
2015;01/01/2015;140;Metroline;Metroline;Ealing;Injuries treated on scene;Onboard Injuries;Passenger;Male;Elderly
2015;01/01/2015;140;Metroline;Metroline;Harrow;Injuries treated on scene;Collision Incident;Bus Driver;Male;Adult
2015;01/01/2015;140;Metroline;Metroline;Harrow;Injuries treated on scene;Onboard Injuries;Passenger;Female;Adult
2015;01/01/2015;141;Arriva London North;Arriva London;Enfield;Taken to Hospital – Reported Serious Injury or Severity Unknown;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;141;Arriva London North;Arriva London;Hackney;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;141;Arriva London North;Arriva London;Haringey;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;142;Arriva The Shires;Arriva The Shires;Barnet;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;142;Arriva The Shires;Arriva The Shires;Barnet;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;142;Arriva The Shires;Arriva The Shires;Barnet;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;142;Arriva The Shires;Arriva The Shires;Barnet;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;142;Arriva The Shires;Arriva The Shires;Barnet;Reported Minor Injury - Treated at Hospital;Collision Incident;Pedestrian;Unknown;Unknown
2015;01/01/2015;143;Metroline;Metroline;Barnet;Injuries treated on scene;Onboard Injuries;Passenger;Female;Adult
2015;01/01/2015;144;Arriva London North;Arriva London;None London Borough;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;144;Arriva London North;Arriva London;None London Borough;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;148;London United;London United;Southwark;Injuries treated on scene;Onboard Injuries;Passenger;Male;Unknown
2015;01/01/2015;149;Arriva London North;Arriva London;Enfield;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;149;Arriva London North;Arriva London;Haringey;Fatal;Collision Incident;Pedestrian;Male;Adult
2015;01/01/2015;149;Arriva London North;Arriva London;None London Borough;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;150;Arriva London North;Arriva London;Croydon;Taken to Hospital – Reported Serious Injury or Severity Unknown;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;151;London General;Go-Ahead;Sutton;Reported Minor Injury - Treated at Hospital;Onboard Injuries;Passenger;Female;Elderly
2015;01/01/2015;154;London General;Go-Ahead;Merton;Injuries treated on scene;Onboard Injuries;Passenger;Male;Adult
2015;01/01/2015;154;London General;Go-Ahead;Merton;Injuries treated on scene;Onboard Injuries;Passenger;Male;Adult
2015;01/01/2015;155;London General;Go-Ahead;Lambeth;Injuries treated on scene;Onboard Injuries;Passenger;Female;Adult
2015;01/01/2015;157;Abellio London;Abellio;Sutton;Taken to Hospital – Reported Serious Injury or Severity Unknown;Onboard Injuries;Passenger;Female;Adult
2015;01/01/2015;158;Selkent;Stagecoach;Waltham Forest;Injuries treated on scene;Onboard Injuries;Passenger;Male;Unknown
2015;01/01/2015;159;Arriva London South;Arriva London;Lambeth;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;159;Arriva London South;Arriva London;Westminster;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;160;Arriva Kent Thameside;Arriva Kent Thameside;Greenwich;Injuries treated on scene;Assault;Passenger;Male;Adult
2015;01/01/2015;160;Arriva Kent Thameside;Arriva Kent Thameside;Greenwich;Taken to Hospital – Reported Serious Injury or Severity Unknown;Onboard Injuries;Passenger;Female;Elderly
2015;01/01/2015;161;Metrobus;Go-Ahead;Greenwich;Injuries treated on scene;Onboard Injuries;Passenger;Male;Adult
2015;01/01/2015;169;Selkent;Stagecoach;Redbridge;Taken to Hospital – Reported Serious Injury or Severity Unknown;Collision Incident;Pedestrian;Female;Adult
2015;01/01/2015;170;London General;Go-Ahead;Wandsworth;Injuries treated on scene;Collision Incident;3rd Party driver / Occupant;Male;Adult
2015;01/01/2015;172;Abellio London;Abellio;Lewisham;Reported Minor Injury - Treated at Hospital;Onboard Injuries;Member Of Public;Female;Elderly
2015;01/01/2015;176;Arriva London South;Arriva London;Southwark;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;177;Selkent;Stagecoach;Lewisham;Taken to Hospital – Reported Serious Injury or Severity Unknown;Onboard Injuries;Passenger;Male;Adult
2015;01/01/2015;178;Selkent;Stagecoach;Greenwich;Injuries treated on scene;Collision Incident;Passenger;Female;Adult
2015;01/01/2015;180;London General;Go-Ahead;Greenwich;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;181;Metrobus;Go-Ahead;Lewisham;Injuries treated on scene;Collision Incident;Cyclist;Male;Adult
2015;01/01/2015;184;Arriva London North;Arriva London;Barnet;Reported Minor Injury - Treated at Hospital;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;185;London Central;Go-Ahead;Westminster;Injuries treated on scene;Onboard Injuries;Passenger;Male;Adult
2015;01/01/2015;189;Metroline;Metroline;Barnet;Injuries treated on scene;Onboard Injuries;Passenger;Female;Adult
2015;01/01/2015;195;Metroline West;Metroline;Ealing;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;198;Arriva London South;Arriva London;Croydon;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;199;Selkent;Stagecoach;Lewisham;Taken to Hospital – Reported Serious Injury or Severity Unknown;Onboard Injuries;Passenger;Female;Adult
2015;01/01/2015;202;Metrobus;Go-Ahead;Lewisham;Injuries treated on scene;Collision Incident;Bus Driver;Male;Adult
2015;01/01/2015;203;London United;London United;Hillingdon;Injuries treated on scene;Onboard Injuries;Passenger;Female;Adult
2015;01/01/2015;205;Selkent;Stagecoach;None London Borough;Injuries treated on scene;Onboard Injuries;Passenger;Female;Adult
2015;01/01/2015;205;Selkent;Stagecoach;Tower Hamlets;Taken to Hospital – Reported Serious Injury or Severity Unknown;Collision Incident;Passenger;Unknown;Unknown
2015;01/01/2015;207;Metroline West;Metroline;Ealing;Injuries treated on scene;Onboard Injuries;Passenger;Female;Adult
2015;01/01/2015;207;Metroline West;Metroline;Ealing;Injuries treated on scene;Onboard Injuries;Passenger;Female;Unknown
2015;01/01/2015;207;Metroline West;Metroline;Ealing;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;207;Metroline West;Metroline;Ealing;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;207;Metroline West;Metroline;Ealing;Reported Minor Injury - Treated at Hospital;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;208;Selkent;Stagecoach;Bromley;Injuries treated on scene;Collision Incident;Bus Driver;Female;Adult
2015;01/01/2015;208;Selkent;Stagecoach;Bromley;Taken to Hospital – Reported Serious Injury or Severity Unknown;Onboard Injuries;Passenger;Female;Child
